      order_id  order_date  customer_id  ...           city  state  customer_age
0            1  2024-02-02         2616  ...       New York     NY          66.0
1            2  2024-10-10         1736  ...    Los Angeles     CA          24.0
2            3  2024-08-27         2543  ...        Chicago     IL          23.0
3            4  2024-06-09         2252  ...       New York     NY          70.0
4            5  2024-06-07         1583  ...        Houston     TX          75.0
5            6  2024-11-10         2824  ...       New York     NY          57.0
6            7  2024-02-01         1868  ...        Seattle     WA          75.0
7            8  2024-09-12         1301  ...    Los Angeles     CA          38.0
8            9  2024-03-14         2925  ...         Boston     MA          40.0
9           10  2024-02-04         2826  ...        Seattle     WA          28.0
10          11  2024-07-11         1099  ...         Denver     CO          67.0
11          12  2024-12-23         2804  ...        Phoenix     AZ          60.0
12          13  2024-09-26         2894  ...        Chicago     IL          32.0
13          14  2024-10-05         2658  ...         Denver     CO          80.0
14          15  2024-09-19         1509  ...        Houston     TX          19.0
15          16  2024-10-14         2262  ...         Boston     MA          66.0
16          17  2024-07-06         2076  ...         Boston     MA          31.0
17          18  2024-02-16         2240  ...         Denver     CO          67.0
18          19  2024-11-03         2232  ...          Miami     FL           NaN
19          20  2024-06-13         2278  ...        Seattle     WA          32.0
20          21  2024-07-02         2028  ...        Houston     TX          21.0
21          22  2024-05-15         2380  ...        Phoenix     AZ          57.0
22          23  2024-03-07         2053  ...         Boston     MA          28.0
23          24  2024-12-05         1032  ...        Seattle     WA          46.0
24          25  2024-10-13         1070  ...       New York     NY          77.0
25          26  2024-08-23         2916  ...        Houston     TX          73.0
26          27  2024-05-27         2818  ...         Denver     CO          49.0
27          28  2024-10-28         2171  ...    Los Angeles     CA          64.0
28          29  2024-07-18         1349  ...        Phoenix     AZ          69.0
29          30  2024-06-11         2562  ...  San Francisco     CA          56.0
...        ...         ...          ...  ...            ...    ...           ...
4978      4979  2024-12-03         2224  ...    Los Angeles     CA          77.0
4979      4980  2024-08-10         2063  ...         Denver     CO          22.0
4980      4981  2024-11-25         1154  ...          Miami     FL          22.0
4981      4982  2024-12-17         1408  ...        Houston     TX          80.0
4982      4983  2024-03-09         2935  ...          Miami     FL          35.0
4983      4984  2024-05-27         2452  ...          Miami     FL          42.0
4984      4985  2024-03-11         2509  ...          Miami     FL          36.0
4985      4986  2024-01-19         1393  ...  San Francisco     CA          27.0
4986      4987  2024-12-19         1128  ...          Miami     FL          22.0
4987      4988  2024-12-03         1582  ...       New York     NY          26.0
4988      4989  2024-12-07         2713  ...        Houston     TX          71.0
4989      4990  2024-11-19         2013  ...         Denver     CO          19.0
4990      4991  2024-08-25         2569  ...    Los Angeles     CA          74.0
4991      4992  2024-07-10         1973  ...        Phoenix     AZ          31.0
4992      4993  2024-12-28         1980  ...        Seattle     WA          56.0
4993      4994  2024-07-21         2201  ...        Seattle     WA          34.0
4994      4995  2024-08-23         2917  ...  San Francisco     CA          74.0
4995      4996  2024-03-18         1874  ...        Seattle     WA          20.0
4996      4997  2024-09-30         2191  ...       New York     NY          63.0
4997      4998  2024-10-26         2838  ...    Los Angeles     CA          76.0
4998      4999  2024-09-05         1744  ...          Miami     FL          45.0
4999      5000  2024-07-01         2679  ...         Boston     MA          46.0
5000      5001         NaN         1469  ...  San Francisco     CA          66.0
5001      5002         NaN         2224  ...    Los Angeles     CA          77.0
5002      5003         NaN         2063  ...         Denver     CO          22.0
5003      5004         NaN         1154  ...          Miami     FL          22.0
5004      5005         NaN         1408  ...        Houston     TX          80.0
5005      5006         NaN         2935  ...          Miami     FL          35.0
5006      5007         NaN         2452  ...          Miami     FL          42.0
5007      5008         NaN         2509  ...          Miami     FL          36.0

[5008 rows x 11 columns]

